,Recency,T,Frequency,Monetary,expctd_num_of_purch,conditional_probability_alive,expct_avg_spend,cltv_half_year,Period
267056,503,1226,3,2517.9266666666663,0.0870057932301237,0.12930157099930067,2760.0395328226664,232.08871260364083,2014-12-02
267058,815,1101,6,3256.9875000000006,0.512146201216357,0.5399882621709329,3406.269798072527,1686.087807740642,2014-12-02
267061,307,652,2,4435.469999999999,0.31361947758079833,0.39845887247488554,5106.04363456009,1547.9580710314813,2014-12-02
267066,290,1426,3,2748.5033333333336,0.01104226325959391,0.01778623548147339,3012.6862663877273,32.15011989673206,2014-12-02
267067,1030,1121,5,3194.997,0.6789383289071321,0.7881994449870225,3372.35834786885,2212.9325117727267,2014-12-02
267068,720,1299,6,3113.89,0.1543480670057701,0.17698834115283296,3256.636663836936,485.79778198134727,2014-12-02
267072,591,880,4,2694.26625,0.4469599839221635,0.5107444243561058,2883.970428154398,1245.9339529830352,2014-12-02
267073,823,1263,5,3067.259,0.2968363372965908,0.36605928806392507,3237.5548567998426,928.8003523275572,2014-12-02
267075,1037,1350,6,2657.1566666666668,0.4694281121136201,0.5494476895032784,2779.0431337156183,1260.7944151987278,2014-12-02
267076,406,1108,3,1049.0133333333333,0.0834445452450941,0.11787374595104844,1150.5264761813585,92.7894455147452,2014-12-02
267078,0,371,1,1949.22,0.23711040751840537,0.2911187113972083,2645.556433482222,606.458045413709,2014-12-02
267081,489,1309,3,3008.5466666666666,0.05855080837537279,0.09004190702431313,3297.6201224531137,186.60160891453393,2014-12-02
267083,428,1304,2,4300.66,0.051396549351215036,0.08881919990795685,4950.905378308859,245.92344571921905,2014-12-02
267084,694,1060,5,3240.3020000000006,0.37130488171393067,0.41953055814001117,3420.1692746320805,1227.4106344429756,2014-12-02
267085,617,1156,2,2202.265,0.18619920736710366,0.30243454790616203,2536.0894060048545,456.3937228040412,2014-12-02
267088,725,1276,3,3637.6600000000003,0.1918584894446003,0.2911031427894167,3986.950187835099,739.2767941358154,2014-12-02
267090,844,1182,2,3308.9224999999997,0.31938584411898435,0.5245909829199069,3809.6218948213154,1175.9581456765218,2014-12-02
267091,0,693,1,2481.83,0.05962555075161134,0.08863288885018952,3367.31506465137,194.07897944877718,2014-12-02
267092,127,781,2,1523.795,0.07634351597887033,0.10390838975345106,1755.311624543739,129.53144499085678,2014-12-02
267093,969,1403,3,4631.423333333333,0.281519926947693,0.4494215913075973,5075.833394158632,1380.9858375580932,2014-12-02
267094,1097,1407,3,1154.725,0.36513850413367344,0.5838212576460582,1266.3565281512822,446.8749153068374,2014-12-02
267097,862,1149,4,3166.1012499999997,0.4387724175067658,0.5675215850400908,3388.8857539763576,1437.1308649792566,2014-12-02
267098,0,287,1,120.445,0.33372331028438357,0.38721058896875954,167.31880986201412,53.98688574507332,2014-12-02
267099,529,986,6,1987.3425,0.23226509912846066,0.23243721463522563,2078.6368155497985,466.642788430162,2014-12-02
267100,817,1327,3,3331.206666666667,0.224664358538203,0.34801805309106276,3651.1641138316963,792.7670543145159,2014-12-02
267101,0,1329,1,5967.0,0.005420740898288108,0.01082723490796416,8090.19208271671,42.38332950865968,2014-12-02
267102,699,1362,3,3093.263333333333,0.1308637659287402,0.20556935790918127,3390.445599641554,428.79806806059224,2014-12-02
267103,750,1179,7,2708.6707142857144,0.30222517146195876,0.3041690019404805,2814.4711859579447,822.1025188324003,2014-12-02
267104,488,1011,2,5323.89,0.18455260851016453,0.28097957354298864,6128.430175756731,1093.1618600513145,2014-12-02
267105,545,862,5,3623.5160000000005,0.43132301850677124,0.4438741917281048,3824.5797478391046,1594.5036286207269,2014-12-02
267106,947,1101,3,5527.578333333334,0.502649487836583,0.7078500968053887,6057.765507199832,2942.9477831787763,2014-12-02
267107,261,928,3,2040.5666666666666,0.07804057005473043,0.10148676961229011,2236.988148317367,168.7375250308243,2014-12-02
267108,555,1061,3,4745.606666666667,0.20492565748439762,0.2834763705881493,5200.9459938474,1030.1215262434507,2014-12-02
267110,592,1339,5,3174.002,0.06728961385600865,0.08558449688485695,3350.202064734671,217.8710027172639,2014-12-02
267112,761,1241,4,3705.34125,0.24879887283072843,0.33462851231616175,3965.9318406300263,953.637782796483,2014-12-02
267113,647,1220,3,1962.8483333333334,0.17131516855619577,0.25395545230221306,2151.8308627227543,356.2830386786128,2014-12-02
267116,628,1393,2,3601.195,0.09371286756479927,0.16779969924446356,4145.966720874191,375.489429782578,2014-12-02
267117,715,1278,5,4383.977000000001,0.17533212592294609,0.21755854342102515,4627.1036453623865,784.0744888580455,2014-12-02
267119,780,1352,3,1316.4233333333334,0.18425317634179061,0.28828889878872027,1443.5321128718276,257.0508413345625,2014-12-02
267122,667,1329,3,3730.111666666666,0.12811056178852115,0.1986102973012349,4088.2510346798745,506.17693457149716,2014-12-02
267124,574,1430,3,2743.346666666667,0.057722207343718045,0.09311943357508955,3007.0360199501697,167.74585057166385,2014-12-02
267125,570,1226,7,2560.6007142857147,0.07484723962023632,0.07684189376307599,2660.6421265139434,192.46667314339447,2014-12-02
267126,882,1286,6,3386.2725000000005,0.3499488369075122,0.39915933601030895,3541.459579582674,1197.7693928490457,2014-12-02
267129,576,1184,3,2093.6066666666666,0.14425400452743226,0.21060448722937233,2295.104968817956,319.98204568517605,2014-12-02
267134,987,1325,8,2713.0512500000004,0.47653203419011003,0.47296768433738207,2805.3271187018604,1291.9893820294255,2014-12-02
267135,945,1347,3,2433.9466666666667,0.3037672037848085,0.47433833397672426,2668.0212336967347,783.2641515919854,2014-12-02
267139,541,888,3,1171.6683333333333,0.34655937019050576,0.4420398667995027,1284.9216235889703,430.4152521629705,2014-12-02
267140,0,1163,1,5900.7,0.009575696605496094,0.017849472158696502,8000.346609957064,74.04134608370833,2014-12-02
267143,1177,1178,6,3740.0566666666673,0.795892332104561,0.8677345050869995,3911.401987390356,3008.7415615044983,2014-12-02
267145,121,1063,1,1487.33,0.029021044874326628,0.05176527934931982,2019.632973256695,56.64903068746383,2014-12-02
267146,219,808,3,3313.895,0.10513489696340461,0.12885922131380972,3632.195429362754,369.11510692886407,2014-12-02
267147,338,954,2,2414.9775,0.11871147025992941,0.17598809292546683,2780.877228368478,319.07825566707055,2014-12-02
267148,687,1026,5,1637.61,0.40696636603014436,0.45278103145249265,1728.8285873787129,680.0274427685454,2014-12-02
267149,361,1255,2,5251.5125,0.043379888639148434,0.07347378530324244,6045.138734900536,253.44346883368615,2014-12-02
267151,632,1155,6,5412.29,0.18451298876523897,0.19918953860366506,5660.010557350664,1009.3573357302744,2014-12-02
267152,801,1208,7,2369.4357142857143,0.34110051918681744,0.34754958981018474,2462.0419229034037,811.6580461391105,2014-12-02
267155,0,380,1,6060.925,0.22833670997828856,0.28199791612845304,8217.473169126206,1814.0312046576723,2014-12-02
267156,879,1264,3,3720.535,0.3164274399253994,0.4777432390064876,4077.7577198672684,1247.044788559085,2014-12-02
267157,313,1364,3,2130.071666666667,0.016475676688206237,0.02590160106408167,2335.0602829121112,37.18071953755508,2014-12-02
267158,695,1319,7,2155.0657142857144,0.10858668193697152,0.11582449285914112,2239.3341801262673,235.0060101103224,2014-12-02
